date,session_key,z,x,driver_number,meeting_key,y
2024-06-30T13:00:00.263000+00:00,9550,7215,1325,63,1239,-1148
2024-06-30T13:00:00.643000+00:00,9550,7215,1325,63,1239,-1148
2024-06-30T13:00:00.843000+00:00,9550,7215,1325,63,1239,-1148
2024-06-30T13:00:01.063000+00:00,9550,7215,1325,63,1239,-1148
2024-06-30T13:00:01.243000+00:00,9550,7215,1306,63,1239,-1153
2024-06-30T13:00:01.644000+00:00,9550,7215,1272,63,1239,-1162
2024-06-30T13:00:01.824000+00:00,9550,7215,1249,63,1239,-1169
2024-06-30T13:00:01.984000+00:00,9550,7215,1226,63,1239,-1175
2024-06-30T13:00:02.224000+00:00,9550,7215,1188,63,1239,-1185
2024-06-30T13:00:02.424000+00:00,9550,7215,1153,63,1239,-1195
2024-06-30T13:00:02.624000+00:00,9550,7215,1113,63,1239,-1205
2024-06-30T13:00:02.904000+00:00,9550,7215,1033,63,1239,-1227
2024-06-30T13:00:03.284000+00:00,9550,7214,934,63,1239,-1254
2024-06-30T13:00:03.724000+00:00,9550,7214,828,63,1239,-1282
2024-06-30T13:00:03.903000+00:00,9550,7214,771,63,1239,-1298
2024-06-30T13:00:04.123000+00:00,9550,7214,670,63,1239,-1325
2024-06-30T13:00:04.443000+00:00,9550,7214,582,63,1239,-1349
2024-06-30T13:00:04.783000+00:00,9550,7214,444,63,1239,-1386
2024-06-30T13:00:04.983000+00:00,9550,7214,303,63,1239,-1424
2024-06-30T13:00:05.263000+00:00,9550,7214,228,63,1239,-1444
2024-06-30T13:00:05.463000+00:00,9550,7214,130,63,1239,-1471
2024-06-30T13:00:05.783000+00:00,9550,7214,-32,63,1239,-1515
2024-06-30T13:00:06.003000+00:00,9550,7215,-203,63,1239,-1561
2024-06-30T13:00:06.363000+00:00,9550,7217,-417,63,1239,-1619
2024-06-30T13:00:06.743000+00:00,9550,7220,-619,63,1239,-1673
2024-06-30T13:00:07.063000+00:00,9550,7221,-712,63,1239,-1698
2024-06-30T13:00:07.303000+00:00,9550,7223,-814,63,1239,-1726
2024-06-30T13:00:07.663000+00:00,9550,7227,-948,63,1239,-1762
2024-06-30T13:00:07.723000+00:00,9550,7227,-969,63,1239,-1767
2024-06-30T13:00:08.044000+00:00,9550,7231,-1069,63,1239,-1794
2024-06-30T13:00:08.284000+00:00,9550,7233,-1134,63,1239,-1812
2024-06-30T13:00:08.444000+00:00,9550,7234,-1175,63,1239,-1823
2024-06-30T13:00:08.704000+00:00,9550,7237,-1235,63,1239,-1840
2024-06-30T13:00:08.864000+00:00,9550,7239,-1302,63,1239,-1859
2024-06-30T13:00:09.204000+00:00,9550,7241,-1346,63,1239,-1871
2024-06-30T13:00:09.544000+00:00,9550,7245,-1444,63,1239,-1899
