date,session_key,meeting_key,driver_number,position,timestamp,name_acronym,team_name,team_colour
2024-06-30 13:00:00+00:00,9550,1239,1,1,13:00:00,VER,Red Bull Racing,3671C6
2024-06-30 13:00:00+00:00,9550,1239,2,19,13:00:00,SAR,Williams,64C4FF
2024-06-30 13:00:00+00:00,9550,1239,3,11,13:00:00,RIC,RB,6692FF
2024-06-30 13:00:00+00:00,9550,1239,4,2,13:00:00,NOR,McLaren,FF8000
2024-06-30 13:00:00+00:00,9550,1239,10,13,13:00:00,GAS,Alpine,0093cc
2024-06-30 13:00:00+00:00,9550,1239,11,8,13:00:00,PER,Red Bull Racing,3671C6
2024-06-30 13:00:00+00:00,9550,1239,14,15,13:00:00,ALO,Aston Martin,229971
2024-06-30 13:00:00+00:00,9550,1239,16,6,13:00:00,LEC,Ferrari,E80020
2024-06-30 13:00:00+00:00,9550,1239,18,17,13:00:00,STR,Aston Martin,229971
2024-06-30 13:00:00+00:00,9550,1239,20,12,13:00:00,MAG,Haas F1 Team,B6BABD
2024-06-30 13:00:00+00:00,9550,1239,22,14,13:00:00,TSU,RB,6692FF
2024-06-30 13:00:00+00:00,9550,1239,23,16,13:00:00,ALB,Williams,64C4FF
2024-06-30 13:00:00+00:00,9550,1239,24,20,13:00:00,ZHO,Kick Sauber,52e252
2024-06-30 13:00:00+00:00,9550,1239,27,9,13:00:00,HUL,Haas F1 Team,B6BABD
2024-06-30 13:00:00+00:00,9550,1239,31,10,13:00:00,OCO,Alpine,0093cc
2024-06-30 13:00:00+00:00,9550,1239,44,5,13:00:00,HAM,Mercedes,27F4D2
2024-06-30 13:00:00+00:00,9550,1239,55,4,13:00:00,SAI,Ferrari,E80020
2024-06-30 13:00:00+00:00,9550,1239,63,3,13:00:00,RUS,Mercedes,27F4D2
2024-06-30 13:00:00+00:00,9550,1239,77,18,13:00:00,BOT,Kick Sauber,52e252
2024-06-30 13:00:00+00:00,9550,1239,81,7,13:00:00,PIA,McLaren,FF8000
2024-06-30 13:03:23.220000+00:00,9550,1239,4,3,13:03:23.220000,NOR,McLaren,FF8000
2024-06-30 13:03:23.220000+00:00,9550,1239,63,2,13:03:23.220000,RUS,Mercedes,27F4D2
2024-06-30 13:03:23.598000+00:00,9550,1239,44,4,13:03:23.598000,HAM,Mercedes,27F4D2
2024-06-30 13:03:23.598000+00:00,9550,1239,55,5,13:03:23.598000,SAI,Ferrari,E80020
2024-06-30 13:03:24.432000+00:00,9550,1239,11,6,13:03:24.432000,PER,Red Bull Racing,3671C6
2024-06-30 13:03:24.432000+00:00,9550,1239,16,7,13:03:24.432000,LEC,Ferrari,E80020
2024-06-30 13:03:24.432000+00:00,9550,1239,81,8,13:03:24.432000,PIA,McLaren,FF8000
2024-06-30 13:03:24.626000+00:00,9550,1239,16,8,13:03:24.626000,LEC,Ferrari,E80020
2024-06-30 13:03:24.626000+00:00,9550,1239,81,7,13:03:24.626000,PIA,McLaren,FF8000
2024-06-30 13:03:25.273000+00:00,9550,1239,27,10,13:03:25.273000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:03:25.273000+00:00,9550,1239,31,9,13:03:25.273000,OCO,Alpine,0093cc
2024-06-30 13:03:25.866000+00:00,9550,1239,10,14,13:03:25.866000,GAS,Alpine,0093cc
2024-06-30 13:03:25.866000+00:00,9550,1239,14,13,13:03:25.866000,ALO,Aston Martin,229971
2024-06-30 13:03:25.866000+00:00,9550,1239,22,15,13:03:25.866000,TSU,RB,6692FF
2024-06-30 13:03:26.089000+00:00,9550,1239,10,15,13:03:26.089000,GAS,Alpine,0093cc
2024-06-30 13:03:26.089000+00:00,9550,1239,22,14,13:03:26.089000,TSU,RB,6692FF
2024-06-30 13:03:26.418000+00:00,9550,1239,18,18,13:03:26.418000,STR,Aston Martin,229971
2024-06-30 13:03:26.418000+00:00,9550,1239,77,17,13:03:26.418000,BOT,Kick Sauber,52e252
2024-06-30 13:04:15.831000+00:00,9550,1239,4,2,13:04:15.831000,NOR,McLaren,FF8000
